dataset,N,anom,scatter,Disent_AD,GBRAD,NGBAD,GBMOD,GBNOF,MFIOD,DFNO,KFGOD,MFGAD,WFRDA,ILGNI,NHOD,BLDOD,FGAS,GBFRD,ECOD,DCROD,ROD,COPOD,DeepSVDD,DIF,VAE
musk,3062,0.032,0.9994,0.9997,1.0,1.0,1.0,1.0,0.983,0.9967,,0.9747,1.0,0.993,1.0,1.0,1.0,1.0,0.9559,0.8633,,0.9463,1.0,0.9945,1.0
sick_sick_35_variant1,3576,0.01,0.9079,0.857,0.8224,0.7356,0.8969,0.8145,0.8666,0.9198,0.8578,0.8604,0.8679,0.9016,0.8807,0.8813,0.8687,0.907,0.8833,0.875,0.9269,0.8386,,0.879,0.8591
sick_sick_72_variant1,3613,0.02,0.889,0.782,0.7041,0.5082,0.8333,0.6872,0.7783,0.8327,0.7602,0.7862,0.8365,0.8069,0.8032,0.8122,0.8044,0.8285,0.8425,0.7876,0.8954,0.7804,,0.7972,0.798
thyroid,3772,0.025,0.9846,0.9627,0.8016,0.8653,,0.9412,0.9687,0.953,,0.9894,0.9568,0.5957,0.9536,0.9486,0.9851,0.9771,0.9771,0.955,0.9772,0.9393,0.9367,0.9753,0.9737
tic_tac_toe_negative_12_variant1,638,0.019,1.0,0.9795,0.7501,,0.99,0.9364,0.8244,1.0,0.9166,0.9201,0.9135,0.8126,,0.9917,0.8557,0.9493,0.9482,0.9077,0.8997,0.9418,,0.8292,0.9361
tic_tac_toe_negative_26_variant1,652,0.04,1.0,0.9461,0.5575,,0.905,0.9183,0.7592,1.0,0.8148,0.7842,0.7639,0.7892,,0.9649,0.7596,0.8932,0.8814,0.8259,0.78,0.8725,,0.7949,0.8864
tic_tac_toe_negative_32_variant1,658,0.049,1.0,0.8838,0.5546,,0.9174,0.8888,0.6946,1.0,0.7102,0.7367,0.7576,0.7215,,0.9703,0.7005,0.8808,0.878,0.7226,0.7489,0.7846,,0.8012,0.854
tic_tac_toe_negative_54_variant1,680,0.079,1.0,0.7918,0.6525,,0.8469,0.8285,0.6903,1.0,0.5326,0.6697,0.6493,0.6458,,0.9574,0.5889,0.8026,0.7903,0.5481,0.4827,0.6153,,0.8385,0.8125
tic_tac_toe_negative_69_variant1,695,0.099,1.0,0.7703,0.6448,,0.7937,0.7965,0.7111,0.9988,0.5385,0.6904,0.6599,0.6885,,0.9401,0.5745,0.7447,0.7235,0.5364,0.43,0.6169,,0.8297,0.7816
vertebral,240,0.125,0.8116,0.5302,0.255,0.3125,0.3994,0.2963,0.3348,0.3727,0.3898,0.667,0.3525,0.4244,0.3672,0.6556,0.6329,0.4137,0.42,0.5,0.3895,0.3349,,0.459,0.5048
vote_republican_29_variant1,296,0.098,0.9986,0.7874,0.8154,,,0.9063,0.9959,0.9018,0.9963,0.9965,0.9948,0.9938,,0.9977,0.9952,0.9952,0.9954,0.5373,0.995,0.9951,0.9659,0.8009,0.9954
vowels,1456,0.034,0.9827,0.8966,0.7728,0.7816,0.939,0.9277,0.6389,0.9888,0.6509,0.767,0.6862,0.6092,0.9806,0.9804,0.7087,0.6859,0.5929,0.9777,0.6261,0.4958,0.5513,0.7856,0.6202
wine,129,0.078,0.942,0.921,0.9706,0.7101,0.8966,0.9387,0.8538,0.9571,0.8874,0.9454,0.9151,0.7445,0.9966,0.8929,0.8849,0.9311,0.7328,0.8849,0.8496,0.8672,0.8235,0.5092,0.705
zoo_variant1,101,0.168,1.0,0.8431,0.9258,,,0.3634,0.6723,0.9342,0.3894,0.4664,0.5259,0.5889,,0.903,0.5735,0.5553,0.5819,0.7521,0.7346,0.5497,,0.8109,0.6225
abalone_variant1,4177,0.019,0.7607,0.8397,0.6909,0.7272,0.8186,0.8202,0.6422,0.7922,,0.5651,0.6614,0.604,0.805,0.8083,0.723,0.682,0.6531,0.7803,0.6291,0.6958,,0.7874,
autos_variant1,205,0.122,0.9253,0.6398,0.6819,0.5687,0.6869,0.5916,0.4404,0.6227,0.6247,0.6047,0.6722,0.4702,0.608,0.6658,0.646,0.6442,0.5829,0.6189,0.5624,0.6,0.6531,0.4969,0.5109
bands_band_16_variant1,328,0.049,0.8958,0.7065,0.6165,0.4909,0.8568,0.8493,0.6494,0.8133,0.8003,0.8159,0.7794,0.7796,0.8106,0.871,0.871,0.8588,0.8832,0.8642,0.7194,0.898,0.7103,0.8433,
bands_band_27_variant1,339,0.08,0.8567,0.6632,0.6077,0.7669,0.839,0.8066,0.5242,0.7098,0.8084,0.7825,0.7525,0.7595,0.7977,0.8526,0.8122,0.8314,0.8064,0.7595,0.7045,0.7972,0.6413,0.7962,0.8051
bands_band_34_variant1,346,0.098,0.8511,0.654,0.6967,0.6507,0.8237,0.7853,0.4928,0.6951,0.756,0.7491,0.7291,0.7747,0.7683,0.8245,0.7993,0.7938,0.7818,0.7623,0.6725,0.7631,0.5997,0.7832,0.7942
bands_band_42_variant1,354,0.119,0.8226,0.65,0.6939,0.712,0.7909,0.8054,0.4486,0.6903,0.7837,0.7485,0.7213,0.7431,0.7549,0.8133,0.7714,0.779,0.7505,0.7562,0.661,0.7482,0.5861,0.7523,0.7711
bands_band_6_variant1,318,0.019,1.0,0.8013,0.6677,0.5911,0.9476,0.9402,0.5454,0.9092,0.82,0.9274,0.8232,0.8745,0.942,0.9631,0.922,0.8958,0.9359,0.969,0.8077,0.9476,,0.8162,0.9167
nhanes_age_364,2278,0.16,0.9844,0.8953,0.6759,0.7294,,,0.6493,0.6796,0.7284,0.5706,0.7786,0.7209,,,0.7134,,0.6387,0.6451,,0.7505,0.8101,,0.4384
psdas_dropout_1421,4424,0.321,0.7658,0.6846,0.7779,0.7138,,,0.6884,0.703,,0.7336,0.6933,0.7143,,,,,0.6714,0.7055,,0.6464,0.6615,,0.7351
chess_nowin_145_variant1,1814,0.08,0.8543,0.8294,0.8092,,0.9237,0.9363,0.8992,0.9502,0.9159,0.9205,0.8202,0.9102,,0.9539,0.9161,0.9251,0.915,0.9506,0.9132,0.916,,0.796,0.8761
chess_nowin_16_variant1,1685,0.009,0.95,0.9212,0.9417,,0.9733,0.9809,0.9608,0.9937,0.9796,0.9592,0.9424,0.9496,,0.9938,0.9722,0.9755,0.9688,0.9812,0.9716,0.9694,,0.8766,0.8943
chess_nowin_185_variant1,1854,0.1,0.8515,0.7827,0.7919,,0.8923,0.9144,0.8635,0.9284,0.889,0.8962,0.7886,0.8826,,0.9322,0.8905,0.9006,0.8895,0.9295,0.8907,0.8898,,0.7428,0.8368
chess_nowin_227_variant1,1896,0.12,0.702,0.7692,0.7747,,0.8766,0.8956,0.8298,0.912,0.861,0.874,0.7722,0.8561,,0.9177,0.8649,0.8758,0.8654,0.9185,0.87,0.8652,,0.8086,0.8092
chess_nowin_34_variant1,1703,0.02,0.9532,0.9314,0.8445,,0.9694,0.973,0.9565,0.9893,0.9643,0.9569,0.8625,0.9346,,0.9884,0.9692,0.9686,0.9681,0.9792,0.9545,0.9674,,0.8296,0.9361
chess_nowin_87_variant1,1756,0.05,0.8972,0.8688,0.8311,,0.9483,0.9561,0.9276,0.9759,0.9492,0.9516,0.828,0.9407,,0.9727,0.9519,0.9531,0.9522,0.9697,0.9302,0.9514,,0.8136,0.9191
cardio,1831,0.096,0.9627,0.9447,0.8706,0.9417,0.9248,0.9502,0.8345,0.9142,0.9499,0.8967,0.922,0.8873,0.9306,0.9529,0.9527,0.9484,0.935,0.8336,0.9324,0.9219,0.932,0.9183,0.9616
cardiotocography_2and3_33_variant1,1688,0.02,0.9023,0.889,0.6453,0.7487,0.8637,0.7871,0.6966,0.8095,0.8695,0.784,0.8649,0.8111,0.8229,0.8837,0.8505,0.9027,0.8711,0.8344,0.8925,0.8443,0.8523,0.7956,0.838
diabetes_tested_positive_26_variant1,526,0.049,0.9516,0.9104,0.9582,0.9395,0.9447,0.9333,0.9898,0.9622,0.9784,0.9888,0.9845,0.9055,0.9604,0.9529,0.9888,0.9866,0.9787,0.9352,0.954,0.9858,0.9741,0.8609,0.8662
ionosphere_b_24_variant1,249,0.096,1.0,0.9887,0.9457,0.8003,1.0,0.9989,0.9996,1.0,0.9991,0.9987,0.9928,0.9981,1.0,1.0,0.9996,0.9981,0.9943,1.0,0.9867,0.9954,0.9969,0.9989,0.9994
pageblocks_1_258_variant1,5171,0.05,0.9705,0.9706,0.9368,0.9408,0.977,0.9782,0.922,0.9747,,0.6545,0.944,0.9145,0.9772,0.9739,0.9597,0.9548,0.9376,0.9528,0.921,0.9386,0.9502,0.9802,0.9746
pima_TRUE_55_variant1,555,0.099,0.9328,0.9159,0.9371,0.8327,0.9351,0.917,0.9755,0.9429,0.9616,0.9709,0.9745,0.9007,0.9425,0.9428,0.9705,0.9724,0.9472,0.9278,0.9471,0.9423,0.9069,0.8389,0.8475
sonar_M_10_variant1,107,0.093,1.0,0.6485,0.9577,0.9299,1.0,0.9897,0.9794,0.999,0.9928,0.9979,0.9907,0.9649,1.0,0.9974,0.9948,0.9918,0.966,0.9887,0.9897,0.9856,0.9711,0.8825,0.9711
spambase_spam_56_variant1,2844,0.02,0.7395,0.653,,0.5944,,0.6614,0.7822,0.8333,,0.8363,0.7249,0.6073,0.818,0.7882,0.7883,0.7788,0.8123,0.8253,0.736,0.8146,,0.718,0.7635
thyroid_disease_variant1,9172,0.008,0.706,0.6011,0.6047,0.4522,0.7022,0.6568,0.6383,0.6634,,0.3884,0.5307,0.6096,0.659,0.6874,0.6574,0.6633,0.5808,0.6461,0.5333,0.611,0.6761,0.659,0.6428
waveform_0_100_variant1,3443,0.029,0.7591,0.795,0.8269,0.7037,0.727,0.7633,0.6957,0.7661,0.7074,0.7364,0.7043,0.7052,0.8136,0.807,0.6987,0.7025,0.6084,0.7433,0.6699,0.7343,0.7,0.714,0.6884
wbc_malignant_39_variant1,483,0.081,0.9879,0.9813,0.9964,0.9964,,0.9889,0.9951,0.9971,0.9967,0.9943,0.9968,0.988,0.9968,0.9969,0.9971,0.9975,0.9955,0.9764,0.9851,0.9955,0.992,0.9394,0.9888
wdbc_M_39_variant1,396,0.098,0.9964,0.9791,1.0,0.9962,0.9958,0.9943,0.9814,0.9948,0.997,0.9961,0.9988,0.9512,0.9977,0.9955,0.9977,0.9978,0.9591,0.9682,0.9947,0.9956,0.9545,0.8705,0.9576
wpbc_variant1,198,0.237,0.5832,0.5181,0.5393,0.532,0.5383,0.5373,0.4961,0.5563,0.4934,0.5642,0.5277,0.421,0.5749,0.5377,0.5941,0.5532,0.481,0.5129,0.4865,0.5226,0.5863,0.5013,0.477
yeast_ERL_5_variant1,1141,0.004,0.9988,0.9995,0.9965,0.9996,1.0,1.0,0.9961,1.0,1.0,0.9919,0.9975,0.981,1.0,1.0,0.9986,0.9998,0.9952,0.9898,0.9491,0.9974,0.9972,0.987,0.994
